branch_code,branch_name,college_code,core_branch
617999510,Artificial Intelligence and Data Science,6179,Artificial Intelligence
620399510,Artificial Intelligence and Data Science,6203,Artificial Intelligence
620699510,Artificial Intelligence and Data Science,6206,Artificial Intelligence
620799510,Artificial Intelligence and Data Science,6207,Artificial Intelligence
622399510,Artificial Intelligence and Data Science,6223,Artificial Intelligence
627099510,Artificial Intelligence and Data Science,6270,Artificial Intelligence
627299510,Artificial Intelligence and Data Science,6272,Artificial Intelligence
627399510,Artificial Intelligence and Data Science,6273,Artificial Intelligence
627499510,Artificial Intelligence and Data Science,6274,Artificial Intelligence
628299510,Artificial Intelligence and Data Science,6282,Artificial Intelligence
628499510,Artificial Intelligence and Data Science,6284,Artificial Intelligence
629899510,Artificial Intelligence and Data Science,6298,Artificial Intelligence
630399510,Artificial Intelligence and Data Science,6303,Artificial Intelligence
631099510,Artificial Intelligence and Data Science,6310,Artificial Intelligence
631799510,Artificial Intelligence and Data Science,6317,Artificial Intelligence
632199510,Artificial Intelligence and Data Science,6321,Artificial Intelligence
662299510,Artificial Intelligence and Data Science,6622,Artificial Intelligence
673299510,Artificial Intelligence and Data Science,6732,Artificial Intelligence
675699510,Artificial Intelligence and Data Science,6756,Artificial Intelligence
675899510,Artificial Intelligence and Data Science,6758,Artificial Intelligence
675999510,Artificial Intelligence and Data Science,6759,Artificial Intelligence
676699510,Artificial Intelligence and Data Science,6766,Artificial Intelligence
676799510,Artificial Intelligence and Data Science,6767,Artificial Intelligence
678299510,Artificial Intelligence and Data Science,6782,Artificial Intelligence
679499510,Artificial Intelligence and Data Science,6794,Artificial Intelligence
699199510,Artificial Intelligence and Data Science,6991,Artificial Intelligence
211192110,Artificial Intelligence and Machine Learning,2111,Artificial Intelligence
212792110,Artificial Intelligence and Machine Learning,2127,Artificial Intelligence
213692110,Artificial Intelligence and Machine Learning,2136,Artificial Intelligence
251692110,Artificial Intelligence and Machine Learning,2516,Artificial Intelligence
266692110,Artificial Intelligence and Machine Learning,2666,Artificial Intelligence
314792110,Artificial Intelligence and Machine Learning,3147,Artificial Intelligence
317692110,Artificial Intelligence and Machine Learning,3176,Artificial Intelligence
319392110,Artificial Intelligence and Machine Learning,3193,Artificial Intelligence
319992110,Artificial Intelligence and Machine Learning,3199,Artificial Intelligence
320492110,Artificial Intelligence and Machine Learning,3204,Artificial Intelligence
321192110,Artificial Intelligence and Machine Learning,3211,Artificial Intelligence
321892110,Artificial Intelligence and Machine Learning,3218,Artificial Intelligence
322092110,Artificial Intelligence and Machine Learning,3220,Artificial Intelligence
335392110,Artificial Intelligence and Machine Learning,3353,Artificial Intelligence
344592110,Artificial Intelligence and Machine Learning,3445,Artificial Intelligence
346092110,Artificial Intelligence and Machine Learning,3460,Artificial Intelligence
415192110,Artificial Intelligence and Machine Learning,4151,Artificial Intelligence
419692110,Artificial Intelligence and Machine Learning,4196,Artificial Intelligence
510992110,Artificial Intelligence and Machine Learning,5109,Artificial Intelligence
517292110,Artificial Intelligence and Machine Learning,5172,Artificial Intelligence
539092110,Artificial Intelligence and Machine Learning,5390,Artificial Intelligence
539992110,Artificial Intelligence and Machine Learning,5399,Artificial Intelligence
543392110,Artificial Intelligence and Machine Learning,5433,Artificial Intelligence
544992110,Artificial Intelligence and Machine Learning,5449,Artificial Intelligence
600792170U,Artificial Intelligence and Machine Learning,6007,Artificial Intelligence
613992110,Artificial Intelligence and Machine Learning,6139,Artificial Intelligence
614492110,Artificial Intelligence and Machine Learning,6144,Artificial Intelligence
614992110,Artificial Intelligence and Machine Learning,6149,Artificial Intelligence
621792110,Artificial Intelligence and Machine Learning,6217,Artificial Intelligence
627892110,Artificial Intelligence and Machine Learning,6278,Artificial Intelligence
629892110,Artificial Intelligence and Machine Learning,6298,Artificial Intelligence
630492110,Artificial Intelligence and Machine Learning,6304,Artificial Intelligence
631592110,Artificial Intelligence and Machine Learning,6315,Artificial Intelligence
632292110,Artificial Intelligence and Machine Learning,6322,Artificial Intelligence
632592110,Artificial Intelligence and Machine Learning,6325,Artificial Intelligence
662292110,Artificial Intelligence and Machine Learning,6622,Artificial Intelligence
663292110,Artificial Intelligence and Machine Learning,6632,Artificial Intelligence
663592110,Artificial Intelligence and Machine Learning,6635,Artificial Intelligence
675892110,Artificial Intelligence and Machine Learning,6758,Artificial Intelligence
212791610,Automation and Robotics,2127,Automation and Robotics
317591610,Automation and Robotics,3175,Automation and Robotics
318591610,Automation and Robotics,3185,Automation and Robotics
321791610,Automation and Robotics,3217,Automation and Robotics
325791610,Automation and Robotics,3257,Automation and Robotics
510991610,Automation and Robotics,5109,Automation and Robotics
513991610,Automation and Robotics,5139,Automation and Robotics
516291610,Automation and Robotics,5162,Automation and Robotics
524491610,Automation and Robotics,5244,Automation and Robotics
541891610,Automation and Robotics,5418,Automation and Robotics
614191610,Automation and Robotics,6141,Automation and Robotics
620791610,Automation and Robotics,6207,Automation and Robotics
628191610,Automation and Robotics,6281,Automation and Robotics
631791610,Automation and Robotics,6317,Automation and Robotics
315460210,Automobile Engineering,3154,Automation and Robotics
320260210,Automobile Engineering,3202,Automation and Robotics
320760210,Automobile Engineering,3207,Automation and Robotics
322260210,Automobile Engineering,3222,Automation and Robotics
600460210,Automobile Engineering,6004,Automation and Robotics
630760210,Automobile Engineering,6307,Automation and Robotics
313946110,Bio Medical Engineering,3139,Bio Medical Engineering
317546110,Bio Medical Engineering,3175,Bio Medical Engineering
621946110,Bio Medical Engineering,6219,Bio Medical Engineering
412308210,Bio Technology,4123,Bio Medical Engineering
415108210,Bio Technology,4151,Bio Medical Engineering
617708210,Bio Technology,6177,Bio Medical Engineering
626708210,Bio Technology,6267,Bio Medical Engineering
111650710,Chemical Engineering,1116,Chemical Engineering
111950710,Chemical Engineering,1119,Chemical Engineering
112050710,Chemical Engineering,1120,Chemical Engineering
202050710,Chemical Engineering,2020,Chemical Engineering
203290410,Chemical Engineering,2032,Chemical Engineering
303350710,Chemical Engineering,3033,Chemical Engineering
303350713K,Chemical Engineering,3033,Chemical Engineering
303650710,Chemical Engineering,3036,Chemical Engineering
317550710,Chemical Engineering,3175,Chemical Engineering
318250710,Chemical Engineering,3182,Chemical Engineering
318750710,Chemical Engineering,3187,Chemical Engineering
318950710,Chemical Engineering,3189,Chemical Engineering
319350710,Chemical Engineering,3193,Chemical Engineering
320050710,Chemical Engineering,3200,Chemical Engineering
321650710,Chemical Engineering,3216,Chemical Engineering
412350710,Chemical Engineering,4123,Chemical Engineering
500350710,Chemical Engineering,5003,Chemical Engineering
510450710,Chemical Engineering,5104,Chemical Engineering
512150710,Chemical Engineering,5121,Chemical Engineering
512550710,Chemical Engineering,5125,Chemical Engineering
513950710,Chemical Engineering,5139,Chemical Engineering
602850710,Chemical Engineering,6028,Chemical Engineering
614650710,Chemical Engineering,6146,Chemical Engineering
617750710,Chemical Engineering,6177,Chemical Engineering
625050710,Chemical Engineering,6250,Chemical Engineering
626850710,Chemical Engineering,6268,Chemical Engineering
626950710,Chemical Engineering,6269,Chemical Engineering
627850710,Chemical Engineering,6278,Chemical Engineering
1400550710,Chemical Engineering,14005,Chemical Engineering
524492210,Civil and Environmental Engineering,5244,Civil Engineering
626792210,Civil and Environmental Engineering,6267,Civil Engineering
304291810,Civil and infrastructure Engineering,3042,Civil Engineering
318791810,Civil and infrastructure Engineering,3187,Civil Engineering
100219110,Civil Engineering,1002,Civil Engineering
101219110,Civil Engineering,1012,Civil Engineering
110519110,Civil Engineering,1105,Civil Engineering
110719110,Civil Engineering,1107,Civil Engineering
111419110,Civil Engineering,1114,Civil Engineering
111619110,Civil Engineering,1116,Civil Engineering
111719110,Civil Engineering,1117,Civil Engineering
112019110,Civil Engineering,1120,Civil Engineering
112319110,Civil Engineering,1123,Civil Engineering
112519110,Civil Engineering,1125,Civil Engineering
112619110,Civil Engineering,1126,Civil Engineering
112719110,Civil Engineering,1127,Civil Engineering
112819110,Civil Engineering,1128,Civil Engineering
113019110,Civil Engineering,1130,Civil Engineering
118019110,Civil Engineering,1180,Civil Engineering
118219110,Civil Engineering,1182,Civil Engineering
126519110,Civil Engineering,1265,Civil Engineering
126819110,Civil Engineering,1268,Civil Engineering
127619110,Civil Engineering,1276,Civil Engineering
200819110,Civil Engineering,2008,Civil Engineering
202019110,Civil Engineering,2020,Civil Engineering
211119110,Civil Engineering,2111,Civil Engineering
211219110,Civil Engineering,2112,Civil Engineering
211319110,Civil Engineering,2113,Civil Engineering
211419110,Civil Engineering,2114,Civil Engineering
211619110,Civil Engineering,2116,Civil Engineering
212719110,Civil Engineering,2127,Civil Engineering
212919110,Civil Engineering,2129,Civil Engineering
213019110,Civil Engineering,2130,Civil Engineering
213119110,Civil Engineering,2131,Civil Engineering
213319110,Civil Engineering,2133,Civil Engineering
213419110,Civil Engineering,2134,Civil Engineering
213519110,Civil Engineering,2135,Civil Engineering
213619110,Civil Engineering,2136,Civil Engineering
213719110,Civil Engineering,2137,Civil Engineering
213819110,Civil Engineering,2138,Civil Engineering
214619110,Civil Engineering,2146,Civil Engineering
225019110,Civil Engineering,2250,Civil Engineering
225219110,Civil Engineering,2252,Civil Engineering
225419110,Civil Engineering,2254,Civil Engineering
228219110,Civil Engineering,2282,Civil Engineering
250819110,Civil Engineering,2508,Civil Engineering
251619110,Civil Engineering,2516,Civil Engineering
252219110,Civil Engineering,2522,Civil Engineering
253319110,Civil Engineering,2533,Civil Engineering
263719110,Civil Engineering,2637,Civil Engineering
264119110,Civil Engineering,2641,Civil Engineering
301219110,Civil Engineering,3012,Civil Engineering
301419110,Civil Engineering,3014,Civil Engineering
303319110,Civil Engineering,3033,Civil Engineering
303319113K,Civil Engineering,3033,Civil Engineering
314719110,Civil Engineering,3147,Civil Engineering
315419110,Civil Engineering,3154,Civil Engineering
317519110,Civil Engineering,3175,Civil Engineering
317619110,Civil Engineering,3176,Civil Engineering
318319110,Civil Engineering,3183,Civil Engineering
318719110,Civil Engineering,3187,Civil Engineering
319019110,Civil Engineering,3190,Civil Engineering
319419110,Civil Engineering,3194,Civil Engineering
320119110,Civil Engineering,3201,Civil Engineering
321219110,Civil Engineering,3212,Civil Engineering
321619110,Civil Engineering,3216,Civil Engineering
321719110,Civil Engineering,3217,Civil Engineering
321819110,Civil Engineering,3218,Civil Engineering
321919110,Civil Engineering,3219,Civil Engineering
322019110,Civil Engineering,3220,Civil Engineering
322119110,Civil Engineering,3221,Civil Engineering
322219110,Civil Engineering,3222,Civil Engineering
322319110,Civil Engineering,3223,Civil Engineering
322419110,Civil Engineering,3224,Civil Engineering
335119110,Civil Engineering,3351,Civil Engineering
335319110,Civil Engineering,3353,Civil Engineering
342319110,Civil Engineering,3423,Civil Engineering
343619110,Civil Engineering,3436,Civil Engineering
343919110,Civil Engineering,3439,Civil Engineering
