College_Code,College_Name,Branch_Code,Branch_Name,min,max
6315,Sanjeevan Group of Institutions,631592110,Artificial Intelligence and Machine Learning,2024,2024
6318,"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",631826310,Artificial Intelligence (AI) and Data Science,2024,2024
6318,"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",631884410,Electronics and Computer Engineering,2024,2024
6319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",631924610,Information Technology,2024,2024
6322,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi",632292110,Artificial Intelligence and Machine Learning,2024,2024
6324,"Rajgad Dnyanpeeth's Shri Chhatrapati Shivajiraje College of Engineering, Bhor",632419110,Civil Engineering,2024,2024
6324,"Rajgad Dnyanpeeth's Shri Chhatrapati Shivajiraje College of Engineering, Bhor",632424510,Computer Engineering,2024,2024
6324,"Rajgad Dnyanpeeth's Shri Chhatrapati Shivajiraje College of Engineering, Bhor",632426310,Artificial Intelligence (AI) and Data Science,2024,2024
6324,"Rajgad Dnyanpeeth's Shri Chhatrapati Shivajiraje College of Engineering, Bhor",632437210,Electronics and Telecommunication Engg,2024,2024
6324,"Rajgad Dnyanpeeth's Shri Chhatrapati Shivajiraje College of Engineering, Bhor",632461210,Mechanical Engineering,2024,2024
6402,"NEW INSTITUTE OF TECHNOLOGY,KOLHAPUR",640224210,Computer Science and Engineering,2024,2024
6402,"NEW INSTITUTE OF TECHNOLOGY,KOLHAPUR",640225910,Mechanical and Mechatronics Engineering (Additive Manufacturing),2024,2024
6402,"NEW INSTITUTE OF TECHNOLOGY,KOLHAPUR",640257310,"Electrical, Electronics and Power",2024,2024
6402,"NEW INSTITUTE OF TECHNOLOGY,KOLHAPUR",640291110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),2024,2024
6444,"Shriram Institute Of Engineering & Technology, (Poly), Paniv",644419110,Civil Engineering,2024,2024
6444,"Shriram Institute Of Engineering & Technology, (Poly), Paniv",644424510,Computer Engineering,2024,2024
6444,"Shriram Institute Of Engineering & Technology, (Poly), Paniv",644461210,Mechanical Engineering,2024,2024
6468,"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology,Kolhapur",646884410,Electronics and Computer Engineering,2024,2024
6468,"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology,Kolhapur",646891110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),2024,2024
6622,ISBM College Of Engineering Pune,662237810,Electronics Engineering ( VLSI Design and Technology),2024,2024
6622,ISBM College Of Engineering Pune,662256610,Computer Science,2024,2024
6635,Samarth College of Engineering and Management,663519110,Civil Engineering,2024,2024
6635,Samarth College of Engineering and Management,663524510,Computer Engineering,2024,2024
6635,Samarth College of Engineering and Management,663529310,Electrical Engineering,2024,2024
6635,Samarth College of Engineering and Management,663537210,Electronics and Telecommunication Engg,2024,2024
6635,Samarth College of Engineering and Management,663561210,Mechanical Engineering,2024,2024
6635,Samarth College of Engineering and Management,663591210,Computer Science and Engineering(Data Science),2024,2024
6635,Samarth College of Engineering and Management,663592110,Artificial Intelligence and Machine Learning,2024,2024
6714,"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur",671424210,Computer Science and Engineering,2024,2024
6714,"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur",671429310,Electrical Engineering,2024,2024
6714,"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur",671437210,Electronics and Telecommunication Engg,2024,2024
6714,"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur",671461210,Mechanical Engineering,2024,2024
6756,"Fabtech Technical Campus College of Engineering and Research, Sangola",675699510,Artificial Intelligence and Data Science,2024,2024
6757,"Yashoda Technical Campus, Wadhe, Satara.",675726010,Computer Science and Engineering (Cyber Security),2024,2024
6757,"Yashoda Technical Campus, Wadhe, Satara.",675726310,Artificial Intelligence (AI) and Data Science,2024,2024
6757,"Yashoda Technical Campus, Wadhe, Satara.",675726610,Robotics and Artificial Intelligence,2024,2024
6757,"Yashoda Technical Campus, Wadhe, Satara.",675762410,Mechatronics Engineering,2024,2024
6771,"Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune",677119110,Civil Engineering,2024,2024
6771,"Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune",677124510,Computer Engineering,2024,2024
6771,"Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune",677161210,Mechanical Engineering,2024,2024
6782,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj",678299510,Artificial Intelligence and Data Science,2024,2024
6797,"Dnyanshree Institute Engineering and Technology, Satara",679725910,Mechanical and Mechatronics Engineering (Additive Manufacturing),2024,2024
6878,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",687819190L,Civil Engineering,2024,2024
6878,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",687825910,Mechanical and Mechatronics Engineering (Additive Manufacturing),2024,2024
6878,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",687891110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),2024,2024
6878,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",687892610,Electrical and Computer Engineering,2024,2024
6901,"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",690184410,Electronics and Computer Engineering,2024,2024
6991,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune",699184410,Electronics and Computer Engineering,2024,2024
6991,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune",699199510,Artificial Intelligence and Data Science,2024,2024
14005,"Laxminarayan Innovation Technological University, Nagpur",1400550110,Plastic and Polymer Engineering,2024,2024
14005,"Laxminarayan Innovation Technological University, Nagpur",1400550310,Food Technology,2024,2024
14005,"Laxminarayan Innovation Technological University, Nagpur",1400550710,Chemical Engineering,2024,2024
14005,"Laxminarayan Innovation Technological University, Nagpur",1400552410,Paper and Pulp Technology,2024,2024
14005,"Laxminarayan Innovation Technological University, Nagpur",1400552710,Petro Chemical Engineering,2024,2024
14005,"Laxminarayan Innovation Technological University, Nagpur",1400552910,Oil Technology,2024,2024
14005,"Laxminarayan Innovation Technological University, Nagpur",1400572910,Surface Coating Technology,2024,2024
16006,COEP Technological University,1600619110,Civil Engineering,2024,2024
16006,COEP Technological University,1600624210,Computer Science and Engineering,2024,2024
16006,COEP Technological University,1600626610,Robotics and Artificial Intelligence,2024,2024
16006,COEP Technological University,1600629310,Electrical Engineering,2024,2024
16006,COEP Technological University,1600637210,Electronics and Telecommunication Engg,2024,2024
16006,COEP Technological University,1600646410,Instrumentation and Control Engineering,2024,2024
16006,COEP Technological University,1600661210,Mechanical Engineering,2024,2024
16006,COEP Technological University,1600662710,Manufacturing Science and Engineering,2024,2024
16006,COEP Technological University,1600669410,Metallurgy and Material Technology,2024,2024
16121,"Shri. Anandrao Abitkar College of Engineering, Pal",1612119110,Civil Engineering,2024,2024
16121,"Shri. Anandrao Abitkar College of Engineering, Pal",1612124510,Computer Engineering,2024,2024
16121,"Shri. Anandrao Abitkar College of Engineering, Pal",1612126310,Artificial Intelligence (AI) and Data Science,2024,2024
16121,"Shri. Anandrao Abitkar College of Engineering, Pal",1612129310,Electrical Engineering,2024,2024
16121,"Shri. Anandrao Abitkar College of Engineering, Pal",1612161210,Mechanical Engineering,2024,2024
16126,"Tatyasaheb Kore Institute of Engineering and Technology, Yelur",1612624210,Computer Science and Engineering,2024,2024
16126,"Tatyasaheb Kore Institute of Engineering and Technology, Yelur",1612625210,Cyber Security,2024,2024
16126,"Tatyasaheb Kore Institute of Engineering and Technology, Yelur",1612626210,Computer Science and Business Systems,2024,2024
16126,"Tatyasaheb Kore Institute of Engineering and Technology, Yelur",1612629310,Electrical Engineering,2024,2024
