College_Name,District
"Thakur College of Engineering and Technology, Kandivali, Mumbai",Mumbai Suburban
"Thadomal Shahani Engineering College, Bandra, Mumbai",Mumbai Suburban
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Mumbai City
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai Suburban
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai Suburban
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Thane
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",Mumbai City
"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Thane
"Terna Engineering College, Nerul, Navi Mumbai",Thane
"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Thane
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Thane
"Vidyavardhini's College of Engineering and Technology, Vasai",Palghar
"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Thane
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Thane
"Konkan Gyanpeeth College of Engineering, Karjat",Raigad
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mumbai Suburban
"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Ratnagiri
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mumbai Suburban
Rajendra Mane College of Engineering & Technology Ambav Deorukh,Ratnagiri
"Atharva College of Engineering,Malad(West),Mumbai",Mumbai Suburban
"St. Francis Institute of Technology,Borivali, Mumbai",Mumbai Suburban
"S.S.P.M.'s College of Engineering, Kankavli",Sindhudurg
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Raigad
"Don Bosco Institute of Technology, Mumbai",Mumbai Suburban
"K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai",Mumbai Suburban
K J Somaiya Institute of Technology,Mumbai Suburban
"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",Thane
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Thane
"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR",Thane
"Watumull Institute of Engineering & Technology, Ulhasnagar",Thane
"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai",Mumbai City
"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",Mumbai Suburban
"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Ratnagiri
"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Thane
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Palghar
"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur",Thane
Yadavrao Tasgaonkar College of Engineering & Management,Raigad
"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon",Palghar
"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",Palghar
"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",Palghar
"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Raigad
"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",Raigad
"Vidya Prasarak Mandal's College of Engineering, Thane",Thane
Pravin Rohidas Patil College of Engineering & Technology,Thane
"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly",Thane
"Bharat College of Engineering, Kanhor, Badlapur(W)",Thane
"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai",Raigad
"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",Thane
"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",Thane
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Raigad
"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",Sindhudurg
"Vishvatmak Jangli Maharaj Ashram Trust's Vishvatmak Om Gurudev College of Engineering, Mohili-Aghai, Shahpur.",Thane
"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",Thane
"G.M.Vedak Institute of Technology, Tala, Raigad.",Raigad
"Universal College of Engineering,Kaman Dist. Palghar",Palghar
"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",Ratnagiri
"Ideal Institute of Technology, Wada, Dist.Thane",Thane
"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",Raigad
YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,Sindhudurg
"New Horizon Institute of Technology & Management, Thane",Thane
"A. P. Shah Institute of Technology, Thane",Thane
"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",Raigad
"Indala College Of Engineering, Bapsai Tal.Kalyan",Thane
Devi Mahalaxmi College of Engineering and Technology,Thane
"Government College of Engineering, Chandrapur",Chandrapur
"Laxminarayan Institute of Technology, Nagpur",Nagpur
"Government College of Engineering, Nagpur",Nagpur
"Kavi Kulguru Institute of Technology & Science, Ramtek",Nagpur
"Shri Ramdeobaba College of Engineering and Management, Nagpur",Nagpur
"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",Nagpur
"Bapurao Deshmukh College of Engineering, Sevagram",Wardha
"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur",Nagpur
"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Nagpur
"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Nagpur
"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",Nagpur
"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",Nagpur
"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",Nagpur
"Jaidev Education Society, J D College of Engineering and Management, Nagpur",Nagpur
"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Nagpur
"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",Nagpur
"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur",Nagpur
"G H Raisoni College of Engineering & Management, Nagpur",Nagpur
"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara",Bhandara
"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Nagpur
"Wainganga College of Engineering and Management, Dongargaon, Nagpur",Nagpur
"K.D.K. College of Engineering, Nagpur",Nagpur
"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",Nagpur
"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur",Nagpur
Rajiv Gandhi College of Engineering Research & Technology Chandrapur,Chandrapur
"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",Nagpur
"Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of Engineering and Technology, Nagpur",Nagpur
"Anjuman College of Engineering & Technology, Nagpur",Nagpur
"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",Nagpur
"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Wardha
"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur",Nagpur
"Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College of Engineering, Nagpur",Nagpur
"Swaminarayan Siddhanta Institute Of Technology, Nagpur",Nagpur
"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",Chandrapur
"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati",Chandrapur
"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Bhadrawati",Chandrapur
"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur",Nagpur
"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur",Nagpur
"Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad ƒ?? Patil College of Engineering, Nagpur",Nagpur
"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Nagpur
"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",Wardha
"V M Institute of Engineering and Technology, Dongargaon, Nagpur",Nagpur
"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara",Bhandara
"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",Nagpur
"Suryodaya College of Engineering & Technology, Nagpur",Nagpur
"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha",Wardha
"Bajaj Institute of Technology, Wardha",Wardha
"Karanjekar College of Engineering & Management, Sakoli",Bhandara
"University Institute of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon
"Government College of Engineering, Jalgaon",Jalgaon
"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",Dhule
"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",Jalgaon
"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",Jalgaon
"Shri Gulabrao Deokar College of Engineering, Jalgaon",Jalgaon
"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",Nashik
"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",Nashik
"K. K. Wagh Institute of Engineering Education and Research, Nashik",Nashik
"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",Nashik
"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",Nashik
"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",Nashik
"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",Ahmednagar
"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",Nashik
"G H Raisoni College of Engineering and Management, Jalgaon",Jalgaon
"G H Raisoni Institute of Engineering and Business Management, Jalgaon",Jalgaon
"G. H. Raisoni Institute of Business Management,Jalgaon",Jalgaon
"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",Ahmednagar
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Ahmednagar
"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",Ahmednagar
"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",Nandurbar
"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",Jalgaon
"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",Dhule
"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",Jalgaon
"Godavari Foundation's Godavari College Of Engineering, Jalgaon",Jalgaon
"R. C. Patel Institute of Technology, Shirpur",Dhule
"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)",Nashik
"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Nashik
"Vishwabharati Academy's College of Engineering, Ahmednagar",Ahmednagar
"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",Nashik
