College_Name,District
"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",Pune
"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad",Satara
"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli",Sangli
"Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara",Satara
"S.D.N.C.R.E.S'S.Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara",Satara
"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",Pune
"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)",Solapur
"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",Pune
"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",Pune
"Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali",Sangli
"Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala",Kolhapur
Sanjeevan Group of Institutions,Kolhapur
"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",Kolhapur
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Satara
"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",Pune
"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",Pune
"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur",Solapur
"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi",Pune
"Rajgad Dnyanpeeth's Shri Chhatrapati Shivajiraje College of Engineering, Bhor",Pune
"Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor",Pune
"Alard Charitable Trust's Alard College of Engineering and Management, Pune",Pune
Karmayogi Institute of Technology,Solapur
"Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur",Solapur
"NEW INSTITUTE OF TECHNOLOGY,KOLHAPUR",Kolhapur
"Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune",Pune
